(2011 HJ7)	 2015-Nov-27	0.0893	34.8	100 m - 230 m	22.1	13.57
(2015 LE21)	 2015-Nov-28	0.1126	43.8	31 m - 68 m	24.7	3.71
163696 (2003 EB50)	 2015-Nov-29	0.1254	48.8	1.4 km - 3.1 km	16.4	23.68
(2007 EA26)	 2015-Nov-29	0.1115	43.4	210 m - 470 m	20.5	8.19
(1999 VN6)	 2015-Nov-30	0.1865	72.6	350 m - 780 m	19.4	12.33
345722 (2007 BG29)	 2015-Dec-01	0.1390	54.1	670 m - 1.5 km	18.0	11.26
(2014 WM7)	 2015-Dec-01	0.0796	31.0	51 m - 110 m	23.6	10.08
(2005 XT77)	 2015-Dec-02	0.1679	65.3	180 m - 390 m	20.9	9.70
52381 (1993 HA)	 2015-Dec-03	0.1755	68.3	270 m - 590 m	20.0	2.21
(2013 RZ53)	 2015-Dec-04	0.0781	30.4	1.6 m - 3.6 m	31.1	2.67
(2011 WN15)	 2015-Dec-05	0.0829	32.2	320 m - 710 m	19.6	31.37
(2015 SV2)	 2015-Dec-05	0.0990	38.5	190 m - 430 m	20.7	6.91
(2010 TK7)	 2015-Dec-05	0.1983	77.2	180 m - 410 m	20.8	14.61
(2015 KS120)	 2015-Dec-06	0.1473	57.3	22 m - 49 m	25.4	6.53
(2015 TW237)	 2015-Dec-09	0.1071	41.7	59 m - 130 m	23.3	4.69
(2006 KV89)	 2015-Dec-09	0.1500	58.4	150 m - 330 m	21.3	12.12
(2011 YW10)	 2015-Dec-09	0.0659	25.7	42 m - 94 m	24.0	15.27
33342 (1998 WT24)	 2015-Dec-11	0.0280	10.9	700 m - 1.6 km	17.9	8.51
(2013 AV60)	 2015-Dec-16	0.1387	54.0	480 m - 1.1 km	18.7	25.14
